region,date,clicked,ignored,opened,reported,sent,open_rate,click_rate,report_rate,false_positive_rate,phishrisk_index,campaign_size
APAC,2025-09-28,17,22,75,1,102,0.7352941176470589,0.22666666666666666,0.058823529411764705,0.55,0.23319607843137255,102
APAC,2025-09-29,19,26,76,3,100,0.76,0.25,0.15789473684210525,0.5416666666666666,0.20144736842105265,100
APAC,2025-09-30,25,22,76,4,105,0.7238095238095238,0.32894736842105265,0.16,0.43137254901960786,0.24392105263157898,105
APAC,2025-10-01,25,26,74,5,99,0.7474747474747475,0.33783783783783783,0.2,0.4642857142857143,0.2308108108108108,99
APAC,2025-10-02,15,18,67,5,90,0.7444444444444445,0.22388059701492538,0.3333333333333333,0.47368421052631576,0.12313432835820896,90
APAC,2025-10-03,22,23,75,5,91,0.8241758241758241,0.29333333333333333,0.22727272727272727,0.46,0.1940606060606061,91
APAC,2025-10-04,21,30,76,5,107,0.7102803738317757,0.27631578947368424,0.23809523809523808,0.5357142857142857,0.1798308270676692,107
APAC,2025-10-05,17,26,62,3,96,0.6458333333333334,0.27419354838709675,0.17647058823529413,0.5652173913043478,0.20639468690702087,96
APAC,2025-10-06,58,17,91,4,104,0.875,0.6373626373626373,0.06896551724137931,0.21518987341772153,0.4545149677908299,104
APAC,2025-10-07,20,25,59,0,85,0.6941176470588235,0.3389830508474576,0.0,0.5555555555555556,0.3214406779661017,85
APAC,2025-10-08,14,30,61,2,85,0.7176470588235294,0.22950819672131148,0.14285714285714285,0.6521739130434783,0.19694379391100703,85
APAC,2025-10-09,24,28,74,2,106,0.6981132075471698,0.32432432432432434,0.08333333333333333,0.5185185185185185,0.2758783783783784,106
APAC,2025-10-10,26,24,77,8,105,0.7333333333333333,0.33766233766233766,0.3076923076923077,0.41379310344827586,0.18571428571428572,105
APAC,2025-10-11,21,26,75,4,98,0.7653061224489796,0.28,0.19047619047619047,0.5098039215686274,0.20328571428571432,98
APAC,2025-10-12,14,35,68,6,110,0.6181818181818182,0.20588235294117646,0.42857142857142855,0.6363636363636364,0.11323529411764706,110
APAC,2025-10-13,16,31,75,3,101,0.7425742574257426,0.21333333333333335,0.1875,0.62,0.16795833333333335,101
APAC,2025-10-14,28,30,76,3,111,0.6846846846846847,0.3684210526315789,0.10714285714285714,0.4918032786885246,0.2894172932330827,111
APAC,2025-10-15,30,32,79,7,110,0.7181818181818181,0.379746835443038,0.23333333333333334,0.463768115942029,0.23886075949367092,110
APAC,2025-10-16,20,21,74,5,97,0.7628865979381443,0.2702702702702703,0.25,0.45652173913043476,0.17114864864864865,97
APAC,2025-10-17,26,32,73,8,100,0.73,0.3561643835616438,0.3076923076923077,0.48484848484848486,0.1958904109589041,100
APAC,2025-10-18,17,29,74,8,109,0.6788990825688074,0.22972972972972974,0.47058823529411764,0.5370370370370371,0.12635135135135137,109
APAC,2025-10-19,20,34,59,6,93,0.6344086021505376,0.3389830508474576,0.3,0.5666666666666667,0.1864406779661017,93
APAC,2025-10-20,15,25,80,4,109,0.7339449541284404,0.1875,0.26666666666666666,0.5681818181818182,0.11812500000000001,109
APAC,2025-10-21,18,24,70,1,89,0.7865168539325843,0.2571428571428571,0.05555555555555555,0.5581395348837209,0.25142857142857145,89
APAC,2025-10-22,22,25,72,2,98,0.7346938775510204,0.3055555555555556,0.09090909090909091,0.5102040816326531,0.2621464646464646,98
APAC,2025-10-23,14,32,77,4,114,0.6754385964912281,0.18181818181818182,0.2857142857142857,0.64,0.10642857142857144,114
APAC,2025-10-24,23,31,73,5,104,0.7019230769230769,0.3150684931506849,0.21739130434782608,0.5254237288135594,0.21046158427635497,104
APAC,2025-10-25,24,26,75,7,101,0.7425742574257426,0.32,0.2916666666666667,0.45614035087719296,0.17975,101
APAC,2025-10-26,22,25,64,5,90,0.7111111111111111,0.34375,0.22727272727272727,0.4807692307692308,0.22178977272727274,90
APAC,2025-10-27,17,29,59,4,86,0.686046511627907,0.288135593220339,0.23529411764705882,0.58,0.18759222333001,86
APAC,2025-10-28,22,23,56,4,81,0.691358024691358,0.39285714285714285,0.18181818181818182,0.46938775510204084,0.26925324675324674,81
APAC,2025-10-29,19,24,68,3,102,0.6666666666666666,0.27941176470588236,0.15789473684210525,0.5217391304347826,0.21762383900928794,102
APAC,2025-10-30,24,36,63,7,91,0.6923076923076923,0.38095238095238093,0.2916666666666667,0.5373134328358209,0.2132738095238095,91
APAC,2025-10-31,28,21,70,3,98,0.7142857142857143,0.4,0.10714285714285714,0.40384615384615385,0.30678571428571433,98
APAC,2025-11-01,22,26,79,4,102,0.7745098039215687,0.27848101265822783,0.18181818181818182,0.5,0.20634637514384352,102
APAC,2025-11-02,16,28,82,3,110,0.7454545454545455,0.1951219512195122,0.1875,0.5957446808510638,0.15794207317073172,110
APAC,2025-11-03,26,28,88,4,116,0.7586206896551724,0.29545454545454547,0.15384615384615385,0.4827586206896552,0.22826923076923078,116
APAC,2025-11-04,20,27,67,4,94,0.7127659574468085,0.29850746268656714,0.2,0.5294117647058824,0.20917910447761193,94
APAC,2025-11-05,30,33,77,3,112,0.6875,0.38961038961038963,0.1,0.5,0.30428571428571427,112
APAC,2025-11-06,18,30,71,7,102,0.696078431372549,0.2535211267605634,0.3888888888888889,0.5454545454545454,0.13943661971830987,102
APAC,2025-11-07,17,19,79,2,96,0.8229166666666666,0.21518987341772153,0.11764705882352941,0.5,0.20041325390915862,96
APAC,2025-11-08,25,27,75,3,112,0.6696428571428571,0.3333333333333333,0.12,0.4909090909090909,0.26433333333333336,112
