department,date,clicked,ignored,opened,reported,sent,open_rate,click_rate,report_rate,false_positive_rate,phishrisk_index,campaign_size
Finance,2025-09-28,7,32,56,6,93,0.6021505376344086,0.125,0.8571428571428571,0.7111111111111111,0.06875,93
Finance,2025-09-29,21,35,81,12,129,0.627906976744186,0.25925925925925924,0.5714285714285714,0.5147058823529411,0.1425925925925926,129
Finance,2025-09-30,18,28,65,7,91,0.7142857142857143,0.27692307692307694,0.3888888888888889,0.5283018867924528,0.15230769230769234,91
Finance,2025-10-01,15,37,97,13,132,0.7348484848484849,0.15463917525773196,0.8666666666666667,0.5692307692307692,0.08505154639175258,132
Finance,2025-10-02,7,34,87,9,126,0.6904761904761905,0.08045977011494253,1.2857142857142858,0.68,0.044252873563218394,126
Finance,2025-10-03,23,41,90,15,131,0.6870229007633588,0.25555555555555554,0.6521739130434783,0.5189873417721519,0.14055555555555554,131
Finance,2025-10-04,13,24,61,11,93,0.6559139784946236,0.21311475409836064,0.8461538461538461,0.5,0.11721311475409836,93
Finance,2025-10-05,15,25,84,13,111,0.7567567567567568,0.17857142857142858,0.8666666666666667,0.4716981132075472,0.09821428571428573,111
Finance,2025-10-06,21,36,80,13,123,0.6504065040650406,0.2625,0.6190476190476191,0.5142857142857142,0.14437500000000003,123
Finance,2025-10-07,18,26,87,6,115,0.7565217391304347,0.20689655172413793,0.3333333333333333,0.52,0.11379310344827587,115
Finance,2025-10-08,20,40,85,15,126,0.6746031746031746,0.23529411764705882,0.75,0.5333333333333333,0.12941176470588237,126
Finance,2025-10-09,11,38,92,11,129,0.7131782945736435,0.11956521739130435,1.0,0.6333333333333333,0.0657608695652174,129
Finance,2025-10-10,16,34,88,12,127,0.6929133858267716,0.18181818181818182,0.75,0.5483870967741935,0.1,127
Finance,2025-10-11,15,33,85,10,121,0.7024793388429752,0.17647058823529413,0.6666666666666666,0.5689655172413793,0.09705882352941178,121
Finance,2025-10-12,20,38,92,10,129,0.7131782945736435,0.21739130434782608,0.5,0.5588235294117647,0.11956521739130435,129
