date,clicked,ignored,opened,reported,sent,open_rate,click_rate,report_rate,false_positive_rate,phishrisk_index,campaign_size
2025-09-28,45,132,291,24,468,0.6217948717948718,0.15463917525773196,0.5333333333333333,0.6567164179104478,0.08505154639175258,468
2025-09-29,85,161,395,24,551,0.7168784029038112,0.21518987341772153,0.2823529411764706,0.5962962962962963,0.12629560685033508,551
2025-09-30,77,143,390,33,561,0.6951871657754011,0.19743589743589743,0.42857142857142855,0.5652173913043478,0.10858974358974359,561
2025-10-01,81,166,434,40,588,0.7380952380952381,0.18663594470046083,0.49382716049382713,0.578397212543554,0.10264976958525346,588
2025-10-02,62,127,387,37,535,0.7233644859813084,0.16020671834625322,0.5967741935483871,0.5619469026548672,0.08811369509043927,535
2025-10-03,101,143,417,45,554,0.7527075812274369,0.2422062350119904,0.44554455445544555,0.49480968858131485,0.13321342925659474,554
2025-10-04,74,145,351,35,522,0.6724137931034483,0.21082621082621084,0.47297297297297297,0.5708661417322834,0.11595441595441597,522
2025-10-05,58,145,367,33,509,0.7210216110019646,0.15803814713896458,0.5689655172413793,0.614406779661017,0.08692098092643052,509
2025-10-06,112,137,419,38,557,0.7522441651705566,0.26730310262529833,0.3392857142857143,0.47735191637630664,0.1470167064439141,557
2025-10-07,110,129,403,29,545,0.7394495412844037,0.2729528535980149,0.2636363636363636,0.48134328358208955,0.16648770584254458,545
2025-10-08,69,149,389,39,534,0.7284644194756554,0.17737789203084833,0.5652173913043478,0.5797665369649806,0.0975578406169666,534
2025-10-09,77,150,387,42,546,0.7087912087912088,0.19896640826873385,0.5454545454545454,0.5576208178438662,0.10943152454780362,546
2025-10-10,89,141,413,44,567,0.7283950617283951,0.21549636803874092,0.4943820224719101,0.5145985401459854,0.11852300242130752,567
2025-10-11,80,158,400,40,561,0.7130124777183601,0.2,0.5,0.5683453237410072,0.11000000000000001,561
2025-10-12,87,168,415,42,620,0.6693548387096774,0.20963855421686747,0.4827586206896552,0.5656565656565656,0.11530120481927712,620
2025-10-13,75,167,371,37,538,0.6895910780669146,0.20215633423180593,0.49333333333333335,0.5985663082437276,0.11118598382749327,538
2025-10-14,91,165,392,26,550,0.7127272727272728,0.23214285714285715,0.2857142857142857,0.5851063829787234,0.13410714285714287,550
2025-10-15,75,146,380,30,533,0.7129455909943715,0.19736842105263158,0.4,0.5816733067729084,0.10855263157894737,533
2025-10-16,87,133,406,37,567,0.7160493827160493,0.21428571428571427,0.42528735632183906,0.5175097276264592,0.11785714285714285,567
2025-10-17,80,138,380,34,494,0.7692307692307693,0.21052631578947367,0.425,0.5476190476190477,0.11578947368421053,494
